,Stock,Symbol,instrument_token
0,ABB India Limited,ABB,3329.0
1,ACC Limited,ACC,5633.0
2,APL Apollo Tubes Limited,APLAPOLLO,6599681.0
3,AU Small Finance Bank Limited,AUBANK,5436929.0
4,Aarti Industries Limited,AARTIIND,1793.0
5,Adani Energy Solutions Limited,ADANIENSOL,2615553.0
6,Adani Enterprises Limited,ADANIENT,6401.0
7,Adani Green Energy Limited,ADANIGREEN,912129.0
8,Adani Ports and Special Economic Zone Limited,ADANIPORTS,3861249.0
9,Adani Total Gas Limited,ATGL,1552897.0
10,Aditya Birla Capital Limited,ABCAPITAL,5533185.0
11,Aditya Birla Fashion and Retail Limited,ABFRL,7707649.0
12,Alkem Laboratories Limited,ALKEM,2995969.0
13,Ambuja Cements Limited,AMBUJACEM,325121.0
14,Angel One Limited,ANGELONE,82945.0
15,Apollo Hospitals Enterprise Limited,APOLLOHOSP,40193.0
16,Apollo Tyres Limited,APOLLOTYRE,41729.0
17,Ashok Leyland Limited,ASHOKLEY,54273.0
18,Asian Paints Limited,ASIANPAINT,60417.0
19,Astral Limited,ASTRAL,3691009.0
20,Aurobindo Pharma Limited,AUROPHARMA,70401.0
21,Avenue Supermarts Limited,DMART,5097729.0
22,Axis Bank Limited,AXISBANK,1510401.0
23,BIRLASOFT LIMITED,BSOFT,1790465.0
24,BSE Limited,BSE,5013761.0
25,Bajaj Auto Limited,BAJAJ-AUTO,4267265.0
26,Bajaj Finance Limited,BAJFINANCE,81153.0
27,Bajaj Finserv Limited,BAJAJFINSV,4268801.0
28,Balkrishna Industries Limited,BALKRISIND,85761.0
29,Bandhan Bank Limited,BANDHANBNK,579329.0
30,Bank of Baroda,BANKBARODA,1195009.0
31,Bank of India,BANKINDIA,1214721.0
32,Berger Paints (I) Limited,BERGEPAINT,103425.0
33,Bharat Electronics Limited,BEL,98049.0
34,Bharat Forge Limited,BHARATFORG,108033.0
35,Bharat Heavy Electricals Limited,BHEL,112129.0
36,Bharat Petroleum Corporation Limited,BPCL,134657.0
37,Bharti Airtel Limited,BHARTIARTL,2714625.0
38,Biocon Limited,BIOCON,2911489.0
39,Bosch Limited,BOSCHLTD,558337.0
40,Britannia Industries Limited,BRITANNIA,140033.0
41,CESC Limited,CESC,160769.0
42,CG Power and Industrial Solutions Limited,CGPOWER,194561.0
43,Canara Bank,CANBK,2763265.0
44,Central Depository Services (India) Limited,CDSL,5420545.0
45,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,163073.0
46,Cholamandalam Investment and Finance Company Limited,CHOLAFIN,175361.0
47,Cipla Limited,CIPLA,177665.0
48,Coal India Limited,COALINDIA,5215745.0
49,Coforge Limited,COFORGE,2955009.0
50,Colgate Palmolive (India) Limited,COLPAL,3876097.0
51,Computer Age Management Services Limited,CAMS,87553.0
52,Container Corporation of India Limited,CONCOR,1215745.0
53,Crompton Greaves Consumer Electricals Limited,CROMPTON,4376065.0
54,Cummins India Limited,CUMMINSIND,486657.0
55,Cyient Limited,CYIENT,1471489.0
56,DLF Limited,DLF,3771393.0
57,Dabur India Limited,DABUR,197633.0
58,Dalmia Bharat Limited,DALBHARAT,2067201.0
59,Deepak Nitrite Limited,DEEPAKNTR,5105409.0
60,Delhivery Limited,DELHIVERY,2457345.0
61,Divi's Laboratories Limited,DIVISLAB,2800641.0
62,Dixon Technologies (India) Limited,DIXON,5552641.0
63,Dr. Reddy's Laboratories Limited,DRREDDY,225537.0
64,Eicher Motors Limited,EICHERMOT,232961.0
65,Escorts Kubota Limited,ESCORTS,245249.0
66,Exide Industries Limited,EXIDEIND,173057.0
67,FSN E-Commerce Ventures Limited,NYKAA,1675521.0
68,GAIL (India) Limited,GAIL,1207553.0
69,GMR AIRPORTS LIMITED,GMRAIRPORT,3463169.0
70,Glenmark Pharmaceuticals Limited,GLENMARK,1895937.0
71,Godrej Consumer Products Limited,GODREJCP,2585345.0
72,Godrej Properties Limited,GODREJPROP,4576001.0
73,Granules India Limited,GRANULES,3039233.0
74,Grasim Industries Limited,GRASIM,315393.0
75,HCL Technologies Limited,HCLTECH,1850625.0
76,HDFC Asset Management Company Limited,HDFCAMC,1086465.0
77,HDFC Bank Limited,HDFCBANK,341249.0
78,HDFC Life Insurance Company Limited,HDFCLIFE,119553.0
79,HFCL Limited,HFCL,5619457.0
80,Havells India Limited,HAVELLS,2513665.0
81,Hero MotoCorp Limited,HEROMOTOCO,345089.0
82,Hindalco Industries Limited,HINDALCO,348929.0
83,Hindustan Aeronautics Limited,HAL,589569.0
