symbol,date,open,high,low,close,prev_close,total_trade,volume,delivery_qty,delivery_per,vwap
ADANIENT,2025-04-01,2312.0,2358.95,2301.0,2335.25,2315.8,38905,501942,113208,22.55,2335.05
ADANIENT,2025-04-02,2339.75,2378.85,2314.55,2369.4,2335.25,44789,573928,161497,28.14,2352.69
ADANIENT,2025-04-03,2339.75,2429.9,2339.7,2410.8,2369.4,59356,1023200,293746,28.71,2403.94
ADANIENT,2025-04-04,2394.95,2410.05,2315.5,2334.65,2410.8,68843,1219733,612656,50.23,2344.17
ADANIENT,2025-04-07,2150.05,2239.0,2145.0,2212.7,2334.65,91075,1567177,596876,38.09,2195.57
ADANIENT,2025-04-08,2270.0,2301.0,2225.0,2285.7,2212.7,61791,1224362,453452,37.04,2273.41
ADANIENT,2025-04-09,2265.7,2279.55,2215.2,2236.9,2285.7,56281,1001633,424665,42.4,2239.69
ADANIENT,2025-04-11,2303.05,2343.5,2281.0,2321.4,2236.9,61931,981463,265616,27.06,2317.43
ADANIENT,2025-04-15,2375.0,2440.0,2359.0,2418.2,2321.4,64533,1145125,437677,38.22,2410.05
ADANIENT,2025-04-16,2400.0,2428.0,2382.9,2415.6,2418.2,49754,889949,316900,35.61,2405.12
ADANIENT,2025-04-17,2418.0,2448.6,2392.0,2418.1,2415.6,65818,1054797,261751,24.82,2423.13
ADANIENT,2025-04-21,2426.1,2464.9,2395.5,2442.7,2418.1,49163,782559,180075,23.01,2436.61
ADANIENT,2025-04-22,2458.9,2483.4,2441.0,2445.5,2442.7,45565,766567,172788,22.54,2462.49
ADANIENT,2025-04-23,2460.0,2473.8,2421.2,2453.6,2445.5,44335,672262,153532,22.84,2448.18
ADANIENT,2025-04-24,2450.0,2461.4,2425.1,2442.5,2453.6,45640,596696,172551,28.92,2441.63
ADANIENT,2025-04-25,2450.1,2459.5,2323.5,2354.3,2442.5,82782,1414809,396051,27.99,2362.6
ADANIENT,2025-04-28,2346.0,2402.0,2337.6,2369.8,2354.3,48214,681421,140204,20.58,2373.3
ADANIENT,2025-04-29,2392.0,2400.0,2325.6,2330.6,2369.8,43294,670730,199604,29.76,2353.79
ADANIENT,2025-04-30,2331.4,2340.0,2285.0,2301.3,2330.6,52676,837464,322322,38.49,2313.67
AARTIIND,2025-04-01,391.25,397.45,388.05,391.15,390.75,17695,888899,289521,32.57,391.55
AARTIIND,2025-04-02,392.0,401.8,382.8,400.8,391.15,16332,1021388,314994,30.84,394.15
AARTIIND,2025-04-03,394.0,404.25,389.0,398.45,400.8,20817,1284877,439792,34.23,398.04
AARTIIND,2025-04-04,398.45,400.35,372.0,374.05,398.45,42449,2290992,921479,40.22,379.71
AARTIIND,2025-04-07,357.55,360.75,344.2,355.1,374.05,49574,2097108,687709,32.79,354.45
AARTIIND,2025-04-08,364.9,368.0,355.5,364.0,355.1,23939,1039376,346143,33.3,361.9
AARTIIND,2025-04-09,364.0,364.5,354.2,357.75,364.0,17493,655151,155325,23.71,358.64
AARTIIND,2025-04-11,367.05,387.1,362.8,382.95,357.75,40843,2925148,1143775,39.1,378.4
