,Symbol,instrument_token,date,open,high,low,close,volume
0,ABB,3329.0,2025-04-11,5149.5,5173.95,5052.05,5143.3,416323
1,ABB,3329.0,2025-04-15,5220.0,5288.5,5158.5,5246.5,334196
2,ABB,3329.0,2025-04-16,5280.0,5457.5,5252.5,5379.5,566818
3,ABB,3329.0,2025-04-17,5422.5,5645.0,5294.5,5571.5,1143784
4,ABB,3329.0,2025-04-21,5678.5,5699.0,5519.0,5629.0,684672
5,ABB,3329.0,2025-04-22,5649.0,5704.0,5591.5,5682.5,325345
6,ABB,3329.0,2025-04-23,5715.0,5792.0,5609.0,5713.0,376059
7,ABB,3329.0,2025-04-24,5720.0,5733.0,5621.5,5688.5,374809
8,ABB,3329.0,2025-04-25,5698.0,5708.5,5385.0,5499.0,638225
9,ABB,3329.0,2025-04-28,5499.0,5558.5,5459.0,5536.0,205197
10,ABB,3329.0,2025-04-29,5582.0,5625.0,5560.0,5583.5,224766
11,ABB,3329.0,2025-04-30,5590.0,5604.0,5469.0,5522.5,316444
12,ABB,3329.0,2025-05-02,5505.0,5531.0,5420.0,5451.0,241380
13,ABB,3329.0,2025-05-05,5499.0,5504.5,5415.5,5487.5,241475
14,ABB,3329.0,2025-05-06,5500.0,5500.0,5310.0,5334.0,400370
15,ABB,3329.0,2025-05-07,5270.5,5445.0,5270.0,5397.5,270305
16,ABB,3329.0,2025-05-08,5402.0,5439.5,5210.0,5287.5,345691
17,ABB,3329.0,2025-05-09,5190.0,5468.0,5190.0,5440.5,321841
18,ACC,5633.0,2025-04-11,2001.15,2049.0,1976.4,2007.35,219191
19,ACC,5633.0,2025-04-15,2017.4,2052.2,2008.8,2046.9,240574
20,ACC,5633.0,2025-04-16,2049.0,2062.9,2042.0,2059.3,141159
21,ACC,5633.0,2025-04-17,2059.3,2066.0,2047.3,2061.7,101779
22,ACC,5633.0,2025-04-21,2061.7,2097.0,2055.3,2088.4,193991
23,ACC,5633.0,2025-04-22,2088.4,2104.4,2073.8,2081.7,97202
24,ACC,5633.0,2025-04-23,2088.9,2095.9,2043.0,2051.9,488279
25,ACC,5633.0,2025-04-24,2060.0,2119.9,2051.0,2066.2,1428912
26,ACC,5633.0,2025-04-25,2075.9,2075.9,1931.0,1938.0,1248608
27,ACC,5633.0,2025-04-28,1940.0,1948.9,1908.1,1925.1,505562
28,ACC,5633.0,2025-04-29,1930.0,1942.7,1884.8,1892.2,663809
29,ACC,5633.0,2025-04-30,1890.0,1902.3,1875.2,1888.0,465242
30,ACC,5633.0,2025-05-02,1899.0,1900.2,1860.5,1864.1,633190
31,ACC,5633.0,2025-05-05,1868.0,1910.0,1858.0,1882.3,1432817
32,ACC,5633.0,2025-05-06,1890.0,1894.7,1840.0,1848.9,487624
33,ACC,5633.0,2025-05-07,1840.3,1854.0,1821.2,1844.9,599385
34,ACC,5633.0,2025-05-08,1845.2,1865.0,1800.0,1809.0,768978
35,ACC,5633.0,2025-05-09,1790.0,1818.0,1779.0,1811.6,310374
36,APLAPOLLO,6599681.0,2025-04-11,1491.4,1533.0,1490.05,1517.35,582563
37,APLAPOLLO,6599681.0,2025-04-15,1560.0,1568.5,1512.8,1564.8,375988
38,APLAPOLLO,6599681.0,2025-04-16,1567.0,1576.9,1544.9,1568.1,282839
39,APLAPOLLO,6599681.0,2025-04-17,1568.0,1604.4,1561.3,1589.4,613416
40,APLAPOLLO,6599681.0,2025-04-21,1591.4,1601.0,1572.0,1599.5,443337
